JNR	DYRNR	MATR	BAKTFUND	DYREART	PRV_DATO	CHR_NR	AKTVNR	SEKTION	EPINR	SYSBEM	ANALYSE	region
A2763730	1	772	cjej	81	07JUN1999:00:00:00	10246	5133	1fj	2			R3
A2763731	1	772	cjej	81	07JUN1999:00:00:00	10246	5133	1fj	4			R3
A2763733	1	772	cjej	81	07JUN1999:00:00:00	10560	5133	1fj	2			R8
A2763734	1	772	cjej	81	04JUN1999:00:00:00	10127	5133	1fj	4			R4
A2763735	1	772	cjej	81	04JUN1999:00:00:00	10127	5133	1fj	5			R4
A2763736	1	772	cjej	81	04JUN1999:00:00:00	10302	5133	1fj	6			R4
A2763738	1	772	cjej	81	04JUN1999:00:00:00	10197	5133	1fj	6			R3
A2763739	1	772	cjej	81	04JUN1999:00:00:00	10362	5133	1fj	1			R2
A2763741	1	772	cjej	81	04JUN1999:00:00:00	10129	5133	1fj	2			R7
A2763743	1	772	cjej	81	07JUN1999:00:00:00	10253	5133	1fj	1			R2
A2763750	1	772	cjej	81	07JUN1999:00:00:00	10619	5133	1fj	4			R5
A2763755	1	772	cjej	81	04JUN1999:00:00:00	10193	5133	1fj	8			R7
A2763756	1	772	cjej	81	04JUN1999:00:00:00	10152	5133	1fj	1			R2
A2763761	1	772	cjej	84	03JUN1999:00:00:00	10293	5133	1fj	NA			R3
A2763631	1	772	cjej	81	02JUN1999:00:00:00	10169	5133	1fj	2			R4
A2763455	7	25	cjej	81	03JUN1999:00:00:00	1	5531	1fj	97			NA
A2763455	8	25	cjej	81	03JUN1999:00:00:00	1	5531	1fj	98			NA
A2763455	10	25	cjej	81	03JUN1999:00:00:00	1	5531	1fj	10			NA
A2763532	1	772	cjej	81	01JUN1999:00:00:00	10241	5133	1fj	2			NA
A2763534	1	772	cjej	81	02JUN1999:00:00:00	10126	5133	1fj	1			R2
A2763535	1	772	cjej	81	02JUN1999:00:00:00	10126	5133	1fj	2			R2
A2763536	1	772	cjej	81	01JUN1999:00:00:00	10205	5133	1fj	1			R2
A2763540	1	772	cjej	81	01JUN1999:00:00:00	10248	5133	1fj	2			R8
A2763551	1	772	cjej	81	03JUN1999:00:00:00	10116	5133	1fj	1			NA
A2763552	1	772	cjej	81	01JUN1999:00:00:00	10116	5133	1fj	3			NA
A2763553	1	772	cjej	81	02JUN1999:00:00:00	10116	5133	1fj	3			NA
A2763565	1	772	cjej	81	03JUN1999:00:00:00	10609	5133	1fj	3			R2
A2763574	1	772	cjej	81	03JUN1999:00:00:00	10491	5133	1fj	3			NA
A2763575	1	772	cjej	81	01JUN1999:00:00:00	10491	5133	1fj	2			NA
A2763576	1	772	cjej	81	03JUN1999:00:00:00	10491	5133	1fj	2			NA
A2763577	1	772	cjej	81	01JUN1999:00:00:00	10581	5133	1fj	2			R3
A2763580	1	772	cjej	81	03JUN1999:00:00:00	10236	5133	1fj	2			NA
A2763581	1	772	cjej	81	02JUN1999:00:00:00	10236	5133	1fj	3			NA
A2763582	1	772	cjej	81	03JUN1999:00:00:00	10236	5133	1fj	3			NA
A2763625	1	772	cjej	81	03JUN1999:00:00:00	10244	5133	1fj	3			R4
A2763626	1	772	cjej	81	03JUN1999:00:00:00	10244	5133	1fj	4			R4
A2763627	1	772	cjej	81	03JUN1999:00:00:00	10244	5133	1fj	5			R4
A2763628	1	772	cjej	81	03JUN1999:00:00:00	10244	5133	1fj	6			R4
A2763630	1	772	cjej	81	03JUN1999:00:00:00	10561	5133	1fj	1			R8
A2763455	4	25	cjej	81	03JUN1999:00:00:00	1	5531	1fj	94			NA
A2763200	1	772	cjej	81	25MAY1999:00:00:00	10250	5133	1fj	6			R2
