Materialeart,Chrnr,Epinr,Provedato,Modtag.Dato,Jnr,Provenr,Tolkning,region
Kloaksvaber,10384,2,07/11/05,07/12/05,C1494,1,NEGATIV,R1
Kloaksvaber,10156,1,07/11/05,07/12/05,C1486,1,NEGATIV,NA
Kloaksvaber,10384,2,07/11/05,07/15/05,C15,1,NEGATIV,R1
Kloaksvaber,10486,1,07/11/05,07/12/05,C1485,1,POSITIV,R8
Kloaksvaber,10156,2,07/11/05,07/12/05,C1487,1,NEGATIV,NA
Kloaksvaber,10224,1,07/11/05,07/12/05,C1478,1,NEGATIV,R5
Kloaksvaber,10156,4,07/11/05,07/12/05,C1481,1,POSITIV,NA
Kloaksvaber,10224,2,07/11/05,07/12/05,C1479,1,NEGATIV,R5
Kloaksvaber,10156,4,07/11/05,07/12/05,C1488,1,POSITIV,NA
Kloaksvaber,10420,1,07/12/05,07/13/05,C2,1,POSITIV,R5
Kloaksvaber,10420,1,07/12/05,07/15/05,C14,1,POSITIV,R5
Kloaksvaber,10526,1,07/12/05,07/15/05,C22,1,POSITIV,R3
Kloaksvaber,10630,1,07/12/05,07/13/05,C4,1,NEGATIV,R6
Kloaksvaber,10420,1,07/12/05,07/19/05,C51,1,POSITIV,R5
Kloaksvaber,10630,3,07/12/05,07/13/05,C6,1,NEGATIV,R6
Kloaksvaber,10630,3,07/12/05,07/15/05,C12,1,NEGATIV,R6
Kloaksvaber,10178,3,07/12/05,07/15/05,C29,1,POSITIV,NA
Kloaksvaber,10630,2,07/12/05,07/13/05,C5,1,NEGATIV,R6
Kloaksvaber,10137,1,07/12/05,07/19/05,C48,1,POSITIV,R5
Kloaksvaber,10526,2,07/12/05,07/15/05,C23,1,NEGATIV,R3
Kloaksvaber,10529,1,07/12/05,07/15/05,C16,1,NEGATIV,R7
Kloaksvaber,10156,3,07/12/05,07/13/05,C1,1,NEGATIV,NA
Kloaksvaber,10226,9,07/12/05,07/13/05,C3,1,NEGATIV,NA
Kloaksvaber,10196,3,07/13/05,07/14/05,C8,1,POSITIV,R3
Kloaksvaber,10390,1,07/13/05,07/19/05,C49,1,POSITIV,R1
Kloaksvaber,10300,13,07/13/05,07/14/05,C11,1,POSITIV,R4
Kloaksvaber,10420,2,07/13/05,07/19/05,C52,1,POSITIV,R5
Kloaksvaber,10196,4,07/13/05,07/15/05,C13,1,NEGATIV,R3
Kloaksvaber,10187,1,07/13/05,07/14/05,C7,1,NEGATIV,R8
Kloaksvaber,10300,12,07/13/05,07/14/05,C10,1,POSITIV,R4
Kloaksvaber,10430,3,07/13/05,07/15/05,C24,1,POSITIV,R3
Kloaksvaber,10196,4,07/13/05,07/14/05,C9,1,NEGATIV,R3
Kloaksvaber,10178,2,07/13/05,07/15/05,C28,1,POSITIV,NA
Kloaksvaber,10390,2,07/13/05,07/15/05,C19,1,POSITIV,R1
Kloaksvaber,10390,1,07/13/05,07/15/05,C18,1,POSITIV,R1
Kloaksvaber,10543,2,07/14/05,07/15/05,C21,1,NEGATIV,R7
Kloaksvaber,10375,2,07/14/05,07/15/05,C26,1,POSITIV,R7
Kloaksvaber,10187,2,07/14/05,07/15/05,C27,1,NEGATIV,R8
Kloaksvaber,10205,1,07/14/05,07/15/05,C17,1,NEGATIV,R2
Kloaksvaber,10178,3,07/14/05,07/15/05,C30,1,POSITIV,NA
Kloaksvaber,10375,1,07/14/05,07/15/05,C25,1,POSITIV,R7
Kloaksvaber,10033,1,07/14/05,07/19/05,C47,1,NEGATIV,R3
Kloaksvaber,10543,1,07/14/05,07/15/05,C20,1,POSITIV,R7
Kloaksvaber,10596,3,07/14/05,07/19/05,C53,1,POSITIV,R5
Kloaksvaber,10129,3,07/15/05,07/19/05,C34,1,POSITIV,R7
Kloaksvaber,10574,1,07/15/05,07/19/05,C36,1,NEGATIV,R6
Kloaksvaber,10394,14,07/15/05,07/19/05,C40,1,POSITIV,R4
Kloaksvaber,10129,1,07/15/05,07/19/05,C33,1,POSITIV,R7
Kloaksvaber,10196,2,07/15/05,07/19/05,C44,1,NEGATIV,R3
Kloaksvaber,10615,2,07/15/05,07/19/05,C55,1,POSITIV,NA
Kloaksvaber,10193,8,07/15/05,07/19/05,C41,1,POSITIV,R7
Kloaksvaber,10033,2,07/15/05,07/19/05,C43,1,NEGATIV,R3
